age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
29.0,Federal-gov,185670.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
33.0,Private,311194.0,11th,7.0,Never-married,Sales,Unmarried,Black,Female,0.0,0.0,17.0,United-States,<=50K
61.0,Private,185584.0,Bachelors,13.0,Widowed,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,40.0,,<=50K
43.0,Self-emp-not-inc,170230.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,60.0,United-States,<=50K
28.0,,424884.0,10th,6.0,Separated,,Not-in-family,White,Male,0.0,0.0,30.0,United-States,<=50K
54.0,Local-gov,188588.0,5th-6th,3.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,2001.0,35.0,United-States,<=50K
45.0,Private,30840.0,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Male,27828.0,0.0,50.0,United-States,>50K
27.0,Private,180758.0,Some-college,10.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K
30.0,Local-gov,48542.0,12th,8.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
35.0,Private,143152.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,3908.0,0.0,27.0,United-States,<=50K
27.0,Private,180262.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
61.0,Self-emp-not-inc,221884.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
49.0,Private,27802.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1887.0,40.0,United-States,>50K
37.0,Private,176756.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0.0,1485.0,70.0,United-States,>50K
30.0,Private,234753.0,Assoc-voc,11.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,34.0,United-States,>50K
28.0,Private,416577.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,2829.0,0.0,40.0,United-States,<=50K
21.0,Private,138580.0,12th,8.0,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,<=50K
56.0,Self-emp-not-inc,183580.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,30.0,,<=50K
40.0,Private,34113.0,HS-grad,9.0,Never-married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,6849.0,0.0,43.0,United-States,<=50K
48.0,,63466.0,HS-grad,9.0,Married-spouse-absent,,Unmarried,White,Female,0.0,0.0,32.0,United-States,<=50K
57.0,Local-gov,143910.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
25.0,Private,200318.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
20.0,Private,190290.0,Some-college,10.0,Never-married,Transport-moving,Own-child,White,Male,0.0,1602.0,40.0,United-States,<=50K
27.0,Private,214858.0,10th,6.0,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0.0,0.0,55.0,United-States,<=50K
39.0,Private,257942.0,HS-grad,9.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
35.0,Private,188069.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
51.0,Private,114520.0,HS-grad,9.0,Divorced,Sales,Unmarried,White,Male,0.0,0.0,16.0,United-States,<=50K
18.0,Private,220836.0,11th,7.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,20.0,United-States,<=50K
24.0,Private,161092.0,Bachelors,13.0,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
48.0,Self-emp-inc,192755.0,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,55.0,Canada,>50K
25.0,Private,222539.0,10th,6.0,Never-married,Transport-moving,Not-in-family,White,Male,2597.0,0.0,50.0,United-States,<=50K
45.0,Local-gov,181964.0,Some-college,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1887.0,47.0,United-States,>50K
26.0,Private,179010.0,Some-college,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,65.0,United-States,<=50K
42.0,Self-emp-not-inc,183765.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,50.0,,<=50K
36.0,State-gov,21798.0,Bachelors,13.0,Married-civ-spouse,Protective-serv,Husband,White,Male,15024.0,0.0,40.0,Germany,>50K
67.0,Self-emp-inc,182581.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,20051.0,0.0,20.0,United-States,>50K
33.0,Private,248584.0,Some-college,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
25.0,Private,166971.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,52.0,United-States,<=50K
26.0,Self-emp-not-inc,163189.0,HS-grad,9.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Private,308540.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
33.0,Private,251117.0,5th-6th,3.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico,<=50K
61.0,Private,97128.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
34.0,Local-gov,484911.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,<=50K
42.0,Private,178074.0,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
42.0,Private,118494.0,Some-college,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,44.0,United-States,>50K
35.0,Private,149347.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,70.0,United-States,<=50K
31.0,Local-gov,378426.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,99.0,Columbia,<=50K
29.0,State-gov,33798.0,Some-college,10.0,Divorced,Adm-clerical,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
20.0,State-gov,200819.0,HS-grad,9.0,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
45.0,Self-emp-not-inc,28119.0,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,65.0,United-States,<=50K
35.0,State-gov,318891.0,Assoc-acdm,12.0,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
29.0,Private,115549.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,2635.0,0.0,40.0,United-States,<=50K
27.0,Private,341672.0,Some-college,10.0,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,0.0,0.0,40.0,India,<=50K
32.0,Private,515629.0,HS-grad,9.0,Separated,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
35.0,State-gov,140564.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,5013.0,0.0,40.0,United-States,<=50K
18.0,Private,469921.0,Some-college,10.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
55.0,Private,194290.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
23.0,Private,396099.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,25.0,United-States,<=50K
22.0,Local-gov,192812.0,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,35.0,United-States,<=50K
43.0,Private,193459.0,11th,7.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
45.0,Private,53524.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
50.0,Private,98227.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
59.0,Self-emp-not-inc,181070.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,England,>50K
42.0,Private,24982.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,7688.0,0.0,40.0,United-States,>50K
25.0,Private,352806.0,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,Mexico,<=50K
47.0,Private,189680.0,Bachelors,13.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
24.0,Local-gov,174413.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,1974.0,40.0,United-States,<=50K
29.0,Private,59792.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,40.0,Taiwan,<=50K
35.0,,257250.0,HS-grad,9.0,Never-married,,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
45.0,Private,174426.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,43.0,United-States,<=50K
29.0,Private,114870.0,Some-college,10.0,Divorced,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
37.0,Self-emp-not-inc,218249.0,11th,7.0,Divorced,Prof-specialty,Unmarried,Black,Female,0.0,0.0,30.0,United-States,<=50K
53.0,Private,167033.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,<=50K
43.0,Self-emp-inc,504423.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,60.0,Japan,>50K
26.0,Private,108822.0,HS-grad,9.0,Never-married,Transport-moving,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
26.0,Private,291968.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
23.0,Private,82497.0,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,28.0,United-States,<=50K
20.0,Private,291979.0,HS-grad,9.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
36.0,Private,192704.0,12th,8.0,Never-married,Exec-managerial,Not-in-family,White,Male,4650.0,0.0,50.0,United-States,<=50K
27.0,Private,109611.0,9th,5.0,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0.0,0.0,37.0,Portugal,<=50K
60.0,Private,227468.0,Some-college,10.0,Widowed,Protective-serv,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,<=50K
28.0,Private,37359.0,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999.0,0.0,50.0,United-States,>50K
40.0,Private,193537.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,Dominican-Republic,<=50K
31.0,Private,118941.0,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
34.0,Private,344275.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,60.0,,>50K
28.0,Local-gov,33662.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,7298.0,0.0,40.0,United-States,>50K
63.0,Private,66634.0,9th,5.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,16.0,United-States,<=50K
48.0,Self-emp-inc,196689.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
53.0,Private,186224.0,Assoc-voc,11.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,35.0,United-States,<=50K
47.0,Self-emp-not-inc,182752.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,35.0,Iran,<=50K
23.0,Private,131230.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
47.0,Self-emp-inc,239321.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
20.0,Self-emp-inc,83141.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
29.0,Private,48895.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
41.0,Private,198196.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
40.0,Private,178417.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35.0,United-States,<=50K
52.0,Private,112959.0,Some-college,10.0,Widowed,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
27.0,Private,93021.0,HS-grad,9.0,Never-married,Adm-clerical,Unmarried,Other,Female,0.0,0.0,40.0,United-States,<=50K
34.0,Private,185216.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Private,113364.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
28.0,Private,214858.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
52.0,Private,235307.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
32.0,Private,118551.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,35.0,,>50K
40.0,Private,126868.0,HS-grad,9.0,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,<=50K
32.0,State-gov,479179.0,11th,7.0,Never-married,Protective-serv,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Private,93106.0,Assoc-voc,11.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
69.0,Private,88566.0,9th,5.0,Married-civ-spouse,Other-service,Husband,White,Male,1424.0,0.0,35.0,United-States,<=50K
27.0,Local-gov,113545.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
67.0,Self-emp-not-inc,107138.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
35.0,Self-emp-not-inc,313132.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
28.0,Private,122540.0,10th,6.0,Divorced,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
57.0,Private,153918.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
47.0,Private,195978.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
21.0,Private,162228.0,HS-grad,9.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,30.0,United-States,<=50K
66.0,State-gov,41506.0,10th,6.0,Divorced,Other-service,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,<=50K
31.0,Private,46807.0,Bachelors,13.0,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
54.0,Private,104421.0,Some-college,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
41.0,Private,34278.0,Assoc-voc,11.0,Separated,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
26.0,State-gov,287420.0,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,60.0,United-States,<=50K
35.0,Self-emp-not-inc,77146.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,2829.0,0.0,45.0,United-States,<=50K
58.0,Private,320102.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
42.0,Private,245626.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,60.0,United-States,<=50K
38.0,,94559.0,Bachelors,13.0,Married-civ-spouse,,Wife,Other,Female,7688.0,0.0,50.0,,>50K
20.0,Private,146538.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
41.0,Private,66118.0,Bachelors,13.0,Divorced,Prof-specialty,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
30.0,Private,36340.0,HS-grad,9.0,Never-married,Adm-clerical,Unmarried,White,Female,0.0,0.0,24.0,United-States,<=50K
54.0,Private,102828.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,49.0,United-States,<=50K
54.0,Private,141272.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,>50K
56.0,Private,101128.0,Assoc-acdm,12.0,Married-spouse-absent,Other-service,Not-in-family,White,Male,0.0,0.0,25.0,Iran,<=50K
34.0,Private,152453.0,12th,8.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,Guatemala,<=50K
58.0,Private,49159.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,>50K
21.0,Private,51262.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,35.0,United-States,<=50K
25.0,Private,95691.0,HS-grad,9.0,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,30.0,Columbia,<=50K
27.0,Private,180553.0,HS-grad,9.0,Separated,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
24.0,Private,254293.0,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,2174.0,0.0,45.0,United-States,<=50K
20.0,,203353.0,Some-college,10.0,Never-married,,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
50.0,Private,155434.0,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
18.0,,269373.0,12th,8.0,Never-married,,Own-child,White,Female,0.0,0.0,20.0,United-States,<=50K
21.0,,242736.0,Assoc-acdm,12.0,Never-married,,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
18.0,Private,85508.0,12th,8.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,12.0,United-States,<=50K
33.0,State-gov,37070.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,Canada,<=50K
55.0,Private,117477.0,11th,7.0,Married-spouse-absent,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,Jamaica,<=50K
50.0,Private,279461.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
29.0,Private,543477.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,Black,Female,0.0,0.0,40.0,United-States,<=50K
73.0,,200878.0,HS-grad,9.0,Widowed,,Not-in-family,White,Female,0.0,0.0,15.0,United-States,<=50K
39.0,Private,319962.0,HS-grad,9.0,Divorced,Sales,Other-relative,White,Female,0.0,0.0,40.0,United-States,<=50K
18.0,,25837.0,11th,7.0,Never-married,,Own-child,White,Male,0.0,0.0,72.0,United-States,<=50K
37.0,Private,176967.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
53.0,Private,180062.0,7th-8th,4.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
25.0,Private,109080.0,Some-college,10.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,55.0,United-States,<=50K
42.0,Private,336643.0,Assoc-voc,11.0,Separated,Prof-specialty,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
61.0,State-gov,224638.0,HS-grad,9.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
42.0,Private,144594.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
25.0,Private,109009.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
48.0,Private,379883.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,Cuba,>50K
23.0,,86337.0,Some-college,10.0,Never-married,,Not-in-family,White,Female,0.0,0.0,15.0,United-States,<=50K
41.0,Private,149909.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1848.0,40.0,United-States,>50K
45.0,Private,72393.0,HS-grad,9.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,35.0,United-States,<=50K
41.0,Local-gov,190786.0,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,20.0,United-States,<=50K
46.0,Local-gov,324561.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,45.0,United-States,>50K
48.0,Federal-gov,188081.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
46.0,,443179.0,Bachelors,13.0,Divorced,,Not-in-family,White,Female,0.0,0.0,8.0,United-States,<=50K
53.0,,133963.0,HS-grad,9.0,Divorced,,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
54.0,Private,409173.0,HS-grad,9.0,Married-civ-spouse,Tech-support,Husband,Black,Male,0.0,0.0,50.0,Puerto-Rico,>50K
33.0,Private,107248.0,Assoc-voc,11.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K
45.0,State-gov,231013.0,Bachelors,13.0,Divorced,Protective-serv,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
46.0,State-gov,149337.0,Masters,14.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,38.0,United-States,<=50K
19.0,Private,120361.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
23.0,,138768.0,Bachelors,13.0,Never-married,,Own-child,White,Male,2907.0,0.0,40.0,United-States,<=50K
