Date,Mean Pressure,Absolute Daily Max Air Temp.,Mean Air Temp.,Absolute Daily Min Air Temp.,Mean Dew Point,Mean Relative Humidity,Mean Amount of Cloud,Total Rainfall,Total Bright Sunshine
2001-01-06,1017.4,20.4,19.0,17.9,15.6,81.0,48.0,0.0,6.8
2001-01-07,1014.4,23.2,20.1,17.3,16.3,79.0,7.0,0.0,9.0
2001-01-08,1014.2,20.8,19.6,18.8,16.2,81.0,55.0,0.0,6.7
2001-01-09,1015.3,22.9,19.0,15.3,14.1,74.0,56.0,0.0,6.3
2001-01-10,1015.9,17.7,15.8,13.2,10.5,71.0,92.0,0.0,0.0
2001-01-11,1015.3,18.1,16.5,14.7,13.0,80.0,94.0,0.4,0.0
2001-01-12,1016.2,19.0,18.1,17.5,14.7,81.0,82.0,0.0,2.8
2001-01-13,1017.5,19.4,17.2,15.1,11.7,71.0,56.0,0.7,4.2
2001-01-14,1021.5,18.1,16.5,14.7,10.9,69.0,31.0,0.0,9.4
2001-01-15,1024.6,16.1,14.7,13.4,8.2,65.0,67.0,0.0,0.5
2001-01-16,1025.5,16.6,15.3,13.7,9.0,66.0,77.0,0.02,3.2
2001-01-17,1023.3,17.6,16.2,14.5,10.7,70.0,36.0,0.0,9.7
2001-01-18,1020.3,21.2,18.4,15.6,13.7,75.0,53.0,0.0,6.0
2001-01-19,1019.7,21.5,19.6,18.1,15.0,75.0,53.0,0.0,7.6
2001-01-20,1017.7,23.3,20.3,18.2,14.9,71.0,40.0,0.0,9.1
2001-01-21,1015.6,20.1,18.9,18.2,16.1,84.0,76.0,0.0,1.5
2001-01-22,1013.5,21.8,20.0,18.5,17.2,84.0,85.0,0.0,3.8
2001-01-23,1014.8,20.4,19.0,17.6,17.7,92.0,99.0,0.3,0.0
2001-01-24,1012.7,20.2,18.7,17.7,17.3,91.0,100.0,0.02,0.0
2001-01-25,1008.6,21.0,19.6,16.0,18.8,95.0,93.0,2.3,0.0
2001-01-26,1013.5,16.2,13.7,11.4,10.1,80.0,89.0,27.3,0.4
2001-01-27,1017.4,13.8,12.5,11.2,9.1,80.0,91.0,6.4,0.0
2001-01-28,1020.4,12.9,11.2,9.8,9.0,87.0,96.0,10.2,0.0
2001-01-29,1021.0,15.2,13.8,12.3,8.3,70.0,88.0,0.0,0.0
2001-01-30,1018.1,17.3,15.8,14.5,11.4,75.0,82.0,0.0,0.2
2001-01-31,1015.0,18.5,16.9,15.8,13.9,83.0,88.0,0.0,0.2
2001-02-01,1014.0,19.0,17.3,15.6,14.0,81.0,89.0,0.02,0.0
2001-02-02,1015.4,15.7,14.0,13.2,11.1,82.0,91.0,0.02,0.0
2001-02-03,1014.4,16.3,15.1,14.1,13.6,91.0,100.0,0.1,0.0
2001-02-04,1015.7,16.1,15.4,14.7,14.0,91.0,100.0,0.02,0.0
2001-02-05,1015.0,18.8,17.3,15.9,15.4,89.0,79.0,0.02,4.5
2001-02-06,1012.8,21.7,19.5,17.4,17.2,87.0,77.0,0.0,8.3
2001-02-07,1014.7,23.6,20.0,16.7,16.4,81.0,49.0,0.0,6.9
2001-02-08,1019.2,17.0,15.6,14.6,10.9,74.0,90.0,0.0,0.0
2001-02-09,1019.2,17.7,16.0,14.5,11.5,75.0,85.0,0.02,2.0
2001-02-10,1019.0,17.3,15.7,13.9,11.5,76.0,89.0,1.0,0.7
2001-02-11,1017.9,19.0,17.1,15.4,13.6,80.0,78.0,0.02,3.0
2001-02-12,1016.4,22.8,19.4,16.8,15.6,79.0,69.0,0.0,8.1
2001-02-13,1018.5,20.4,17.6,13.7,13.6,78.0,89.0,0.02,0.7
2001-02-14,1023.1,15.9,13.3,10.5,6.3,63.0,59.0,0.0,2.4
2001-02-15,1023.0,18.0,15.2,12.5,8.4,64.0,32.0,0.0,10.0
2001-02-16,1023.7,18.9,16.8,14.9,11.2,70.0,49.0,0.0,7.8
2001-02-17,1021.0,17.8,16.4,14.8,10.6,69.0,62.0,0.0,6.8
2001-02-18,1017.1,22.8,19.3,16.4,14.7,75.0,37.0,0.0,8.8
2001-02-19,1016.3,24.1,20.3,17.8,16.2,78.0,11.0,0.0,10.2
2001-02-20,1015.3,22.3,19.7,17.9,15.4,76.0,14.0,0.0,10.4
2001-02-21,1013.4,23.2,20.7,18.5,16.1,75.0,59.0,0.0,4.4
2001-02-22,1012.3,24.2,21.1,18.9,17.1,78.0,7.0,0.0,10.3
2001-02-23,1010.8,25.3,21.0,17.7,16.2,75.0,17.0,0.0,10.2
2001-02-24,1012.1,26.0,21.6,18.6,17.3,78.0,59.0,0.0,7.6
2001-02-25,1018.5,19.4,15.4,12.9,11.9,80.0,89.0,8.8,0.0
2001-02-26,1019.1,16.7,14.8,12.9,12.2,85.0,96.0,0.02,0.0
2001-02-27,1018.4,20.4,18.9,16.6,15.6,81.0,88.0,0.02,0.6
2001-02-28,1017.3,20.3,18.5,17.2,16.1,86.0,83.0,1.0,4.2
2001-03-01,1019.4,21.2,17.7,14.3,10.3,63.0,31.0,0.0,10.0
2001-03-02,1019.4,19.4,18.1,16.5,11.4,65.0,55.0,0.0,5.8
2001-03-03,1018.7,22.8,19.9,18.3,14.6,72.0,83.0,0.02,4.0
2001-03-04,1020.2,22.6,19.6,17.0,7.4,46.0,23.0,0.0,9.7
2001-03-05,1017.5,21.1,19.1,17.3,12.9,68.0,40.0,0.0,8.5
2001-03-06,1015.9,23.4,20.9,18.8,17.1,79.0,58.0,0.0,8.6
2001-03-07,1015.8,25.1,21.6,18.2,18.8,85.0,72.0,0.02,4.6
2001-03-08,1022.0,18.3,16.6,15.4,12.5,77.0,94.0,0.02,0.3
2001-03-09,1022.1,17.9,16.6,14.9,9.9,65.0,87.0,0.02,2.7
2001-03-10,1019.3,18.7,18.0,17.3,12.5,70.0,90.0,0.02,0.0
2001-03-11,1018.5,19.7,18.3,16.9,15.8,85.0,100.0,2.7,0.0
2001-03-12,1019.7,20.6,18.2,16.1,13.7,76.0,90.0,1.3,0.5
2001-03-13,1019.2,20.1,18.5,16.9,11.4,64.0,76.0,0.0,4.4
2001-03-14,1017.8,22.5,20.3,18.5,16.8,81.0,73.0,0.02,5.6
2001-03-15,1015.4,25.3,22.2,19.8,18.1,79.0,45.0,0.0,9.5
2001-03-16,1012.0,23.0,21.8,20.8,19.8,89.0,82.0,0.02,5.0
2001-03-17,1011.4,26.9,22.9,20.5,20.1,85.0,77.0,0.02,3.8
2001-03-18,1014.3,23.6,21.5,19.9,19.1,86.0,74.0,0.02,1.4
2001-03-19,1014.6,22.6,20.7,19.1,17.9,84.0,94.0,0.02,4.1
2001-03-20,1011.8,25.4,23.0,21.3,20.4,85.0,92.0,0.1,0.0
2001-03-21,1011.0,26.5,22.6,19.5,17.0,72.0,31.0,0.0,9.8
2001-03-22,1010.2,24.9,22.5,20.9,19.7,84.0,73.0,0.0,3.3
2001-03-23,1009.5,27.7,24.4,22.2,21.4,84.0,80.0,0.2,5.5
2001-03-24,1007.9,27.9,25.5,23.9,21.9,81.0,86.0,0.02,6.4
2001-03-25,1006.4,26.2,23.7,20.7,21.4,87.0,80.0,46.2,0.4
2001-03-26,1008.3,20.8,20.1,19.1,17.0,82.0,84.0,0.02,0.0
2001-03-27,1007.5,20.7,19.8,18.9,17.9,89.0,97.0,5.4,0.0
2001-03-28,1010.8,23.0,21.0,19.5,17.2,79.0,86.0,0.02,5.1
2001-03-29,1013.9,22.0,19.9,17.1,14.4,71.0,51.0,0.6,7.6
2001-03-30,1015.1,22.7,20.4,18.4,15.8,75.0,44.0,0.0,9.2
2001-03-31,1016.5,24.2,21.9,20.0,18.5,81.0,72.0,0.02,4.6
2001-04-01,1017.1,22.1,20.4,19.6,17.2,82.0,91.0,0.02,0.6
2001-04-02,1012.6,24.0,21.9,20.0,18.9,83.0,60.0,0.02,4.7
2001-04-03,1010.3,26.8,24.0,21.4,20.4,81.0,66.0,0.0,6.8
2001-04-04,1012.2,24.2,20.7,18.8,19.4,93.0,96.0,41.3,0.0
2001-04-05,1013.6,21.4,19.9,18.5,18.1,89.0,92.0,17.9,0.3
2001-04-06,1013.3,21.0,20.2,19.5,18.9,92.0,98.0,5.0,0.0
2001-04-07,1011.9,22.3,20.8,19.7,19.5,92.0,99.0,0.2,0.0
2001-04-08,1006.3,26.4,24.3,21.0,22.5,90.0,96.0,0.1,0.1
2001-04-09,1008.7,25.2,23.1,21.4,22.3,95.0,96.0,46.6,0.0
2001-04-10,1012.7,21.8,21.4,21.0,19.5,89.0,98.0,0.3,0.0
2001-04-11,1015.7,21.1,18.1,15.6,15.3,84.0,91.0,4.2,0.1
2001-04-12,1016.6,21.1,17.8,15.0,11.0,65.0,46.0,0.0,8.1
2001-04-13,1016.2,20.5,19.4,18.7,15.0,76.0,96.0,0.02,0.1
2001-04-14,1018.3,23.0,21.1,19.7,15.8,72.0,93.0,0.02,0.7
2001-04-15,1016.8,24.2,22.2,20.7,17.2,74.0,59.0,0.0,7.6
2001-04-16,1013.2,25.8,22.6,20.7,19.2,82.0,77.0,0.0,6.0
2001-04-17,1010.2,26.8,23.9,22.1,21.2,85.0,84.0,0.0,2.1
2001-04-18,1008.8,25.1,23.7,21.9,22.2,91.0,93.0,5.4,0.8
2001-04-19,1008.0,24.4,22.9,21.7,21.9,94.0,95.0,2.3,0.2
2001-04-20,1004.6,28.6,26.5,24.1,23.5,84.0,87.0,0.02,4.9
2001-04-21,1005.5,27.6,25.6,23.1,23.3,87.0,92.0,1.2,0.1
2001-04-22,1010.8,23.3,21.6,19.9,19.9,90.0,99.0,3.6,0.0
2001-04-23,1012.5,22.4,20.8,19.5,19.1,90.0,93.0,1.4,0.6
2001-04-24,1012.1,26.8,23.1,21.3,21.2,89.0,90.0,0.02,1.8
2001-04-25,1013.3,22.9,21.6,20.2,20.0,91.0,96.0,3.2,0.0
2001-04-26,1014.7,24.2,22.0,20.1,18.8,82.0,71.0,0.02,8.1
2001-04-27,1012.5,24.9,22.7,21.0,18.8,79.0,73.0,0.0,6.6
2001-04-28,1009.8,26.2,24.2,22.8,22.5,90.0,89.0,0.02,3.5
2001-04-29,1009.6,30.0,26.8,24.3,24.3,87.0,83.0,0.3,6.1
2001-04-30,1011.0,31.8,27.8,25.8,24.3,82.0,67.0,0.0,9.1
2001-05-01,1011.1,27.1,25.6,24.0,22.9,85.0,86.0,0.8,1.3
2001-05-02,1009.7,26.7,24.9,23.6,22.5,87.0,88.0,0.02,0.1
2001-05-03,1011.8,24.9,23.9,23.4,22.1,90.0,92.0,3.2,0.0
2001-05-04,1012.6,26.4,24.5,23.3,22.1,87.0,89.0,0.1,1.6
2001-05-05,1010.5,30.5,26.8,24.3,23.3,82.0,68.0,0.02,8.9
2001-05-06,1008.3,31.0,28.1,26.0,24.2,80.0,71.0,0.0,9.8
2001-05-07,1006.2,31.0,28.9,27.7,24.7,78.0,83.0,0.0,8.0
2001-05-08,1004.7,32.2,29.0,27.4,25.4,82.0,88.0,5.2,5.9
2001-05-09,1005.3,30.3,26.5,23.4,24.1,87.0,87.0,30.4,3.0
2001-05-10,1009.6,26.9,24.7,23.5,21.0,80.0,88.0,0.02,1.4
2001-05-11,1010.8,26.6,24.6,22.9,20.7,79.0,76.0,0.2,2.4
2001-05-12,1008.6,29.6,25.7,23.4,20.7,75.0,68.0,0.0,7.4
2001-05-13,1007.2,29.2,26.2,23.9,21.5,76.0,37.0,0.0,9.6
2001-05-14,1008.8,30.0,27.1,25.4,22.2,75.0,60.0,0.0,7.0
2001-05-15,1011.5,28.5,26.5,25.3,22.7,80.0,85.0,0.1,3.3
2001-05-16,1012.1,27.8,26.1,25.0,22.3,80.0,88.0,1.2,0.9
2001-05-17,1010.5,27.5,25.8,24.9,23.4,87.0,85.0,0.5,0.4
2001-05-18,1006.2,28.0,26.8,25.3,24.3,86.0,91.0,22.8,0.1
2001-05-19,1004.0,27.9,26.6,25.5,24.5,89.0,88.0,1.8,0.1
2001-05-20,1003.5,31.9,28.3,26.2,24.6,81.0,75.0,0.02,8.4
2001-05-21,1003.1,31.7,27.8,23.9,24.6,83.0,88.0,27.6,3.2
2001-05-22,1002.9,28.9,26.8,24.8,24.6,88.0,87.0,14.6,1.0
2001-05-23,1004.0,28.6,27.1,26.3,24.7,87.0,80.0,0.0,4.7
2001-05-24,1004.5,30.3,27.5,25.8,24.3,83.0,54.0,0.0,10.5
2001-05-25,1006.0,29.8,27.6,26.3,24.3,82.0,84.0,0.0,7.6
2001-05-26,1008.0,30.7,28.0,26.7,24.1,80.0,58.0,0.0,10.2
2001-05-27,1007.5,31.0,28.3,26.1,22.4,72.0,64.0,0.0,11.7
2001-05-28,1006.0,29.3,27.7,26.2,24.1,81.0,80.0,1.2,6.6
2001-05-29,1004.7,29.3,27.4,26.3,23.6,80.0,74.0,0.02,8.0
2001-05-30,1005.3,29.0,26.3,24.5,24.4,89.0,89.0,50.8,0.6
2001-05-31,1009.0,29.7,26.5,24.8,22.8,81.0,85.0,1.5,5.8
2001-06-01,1011.1,27.9,26.2,25.1,21.1,74.0,85.0,0.0,0.6
2001-06-02,1011.6,26.8,25.8,25.0,23.3,86.0,89.0,1.7,0.0
2001-06-03,1010.6,31.4,27.4,25.5,24.0,82.0,88.0,0.02,3.7
2001-06-04,1006.5,30.5,28.7,27.4,24.5,78.0,88.0,0.0,5.4
2001-06-05,1005.1,29.5,27.5,25.0,24.6,85.0,90.0,73.6,1.0
2001-06-06,1006.4,27.9,26.3,24.9,24.7,91.0,91.0,54.7,0.0
2001-06-07,1006.5,27.8,25.9,23.7,24.3,91.0,95.0,72.3,0.0
2001-06-08,1006.3,26.8,24.9,23.9,24.1,95.0,97.0,131.3,0.0
2001-06-09,1006.2,27.7,26.1,24.2,24.8,93.0,93.0,54.5,0.0
2001-06-10,1005.5,29.7,28.2,26.8,25.1,83.0,92.0,4.4,1.9
2001-06-11,1006.0,28.2,26.3,24.2,24.5,90.0,93.0,101.3,0.0
2001-06-12,1005.5,29.3,27.3,24.9,25.1,88.0,90.0,73.2,1.8
2001-06-13,1002.4,30.2,27.7,24.3,24.6,84.0,89.0,41.6,1.0
2001-06-14,1002.9,28.9,26.7,24.9,23.4,82.0,85.0,0.4,1.6
2001-06-15,1004.7,29.4,27.1,24.9,24.9,88.0,80.0,4.9,4.4
2001-06-16,1005.5,30.2,28.3,26.9,25.3,84.0,80.0,7.1,5.0
2001-06-17,1006.4,32.2,29.2,27.2,25.1,79.0,58.0,0.02,11.7
2001-06-18,1004.6,32.5,29.6,27.5,24.5,75.0,43.0,0.0,11.2
2001-06-19,1001.7,32.3,29.6,27.7,24.6,75.0,57.0,0.0,11.3
2001-06-20,1002.5,30.6,28.8,27.2,26.0,85.0,83.0,29.9,2.1
2001-06-21,1003.9,32.2,29.4,28.0,25.8,82.0,73.0,0.0,8.3
2001-06-22,1003.7,33.2,30.0,28.0,25.5,77.0,39.0,0.02,12.0
2001-06-23,1002.0,33.2,29.6,26.0,25.8,81.0,64.0,39.4,6.8
2001-06-24,1004.9,30.4,28.0,25.7,25.3,85.0,89.0,39.3,3.0
2001-06-25,1004.8,28.0,26.5,25.2,25.4,94.0,88.0,106.1,0.7
2001-06-26,1004.1,29.0,26.6,25.0,25.2,92.0,89.0,73.1,0.0
2001-06-27,1006.3,27.5,25.9,23.9,24.7,93.0,91.0,136.4,0.0
2001-06-28,1007.3,30.6,28.1,25.4,25.7,87.0,73.0,5.2,10.4
2001-06-29,1007.2,30.9,28.6,27.1,25.6,84.0,78.0,2.9,9.6
2001-06-30,1004.6,29.2,27.7,26.1,25.7,89.0,86.0,30.3,0.5
2001-07-01,1002.1,28.3,27.1,25.1,24.9,88.0,92.0,57.8,0.2
2001-07-02,1004.7,28.7,27.3,25.6,25.1,88.0,88.0,11.8,0.8
2001-07-03,1005.4,29.6,27.9,26.3,25.0,85.0,72.0,6.9,8.8
2001-07-04,998.9,33.2,29.7,25.8,23.0,68.0,60.0,0.0,9.0
2001-07-05,990.1,33.0,30.1,26.3,23.6,69.0,88.0,15.8,0.2
2001-07-06,986.5,28.3,26.7,25.4,24.3,87.0,97.0,142.1,0.0
2001-07-07,1002.6,30.1,28.6,27.3,25.5,84.0,91.0,8.8,0.4
2001-07-08,1008.8,29.9,28.1,27.1,26.0,89.0,86.0,1.4,3.6
2001-07-09,1008.8,32.2,29.0,27.1,25.3,81.0,60.0,0.0,8.8
2001-07-10,1006.9,32.1,29.1,27.0,24.8,78.0,25.0,0.0,12.3
2001-07-11,1004.4,32.1,29.3,27.7,25.4,80.0,70.0,0.0,8.3
2001-07-12,1002.3,30.9,29.5,28.5,26.0,82.0,87.0,0.0,0.3
2001-07-13,1003.7,29.5,27.0,24.9,23.9,83.0,90.0,41.0,0.0
2001-07-14,1006.3,31.5,29.3,27.4,25.4,80.0,86.0,1.2,8.5
2001-07-15,1007.6,29.1,26.0,24.3,24.6,92.0,92.0,114.0,0.0
2001-07-16,1006.5,29.9,27.0,25.1,24.6,87.0,88.0,1.0,1.1
2001-07-17,1003.3,29.4,27.2,24.6,24.9,87.0,89.0,37.0,0.1
2001-07-18,1002.3,29.6,26.8,24.4,24.8,89.0,91.0,45.8,0.7
2001-07-19,1004.7,28.7,27.0,25.4,25.1,89.0,86.0,10.8,0.0
2001-07-20,1004.8,30.0,27.6,25.8,25.8,90.0,81.0,21.5,6.1
2001-07-21,1005.3,28.9,26.8,25.3,25.5,93.0,86.0,87.3,0.3
2001-07-22,1008.0,30.8,28.0,26.3,25.5,87.0,71.0,4.2,7.2
2001-07-23,1006.9,31.7,29.1,26.8,24.7,78.0,51.0,0.0,9.9
2001-07-24,1003.7,31.3,28.1,26.1,25.0,84.0,83.0,14.5,3.2
2001-07-25,1003.0,28.1,26.7,25.2,24.2,86.0,94.0,17.7,0.0
2001-07-26,1006.5,28.9,27.0,25.5,25.2,90.0,88.0,15.8,1.2
2001-07-27,1006.9,30.2,28.1,26.8,25.8,87.0,77.0,0.02,5.3
2001-07-28,1006.1,31.5,28.8,26.8,24.9,80.0,68.0,0.0,6.6
2001-07-29,1005.6,32.0,29.2,26.8,25.0,78.0,32.0,0.0,10.9
2001-07-30,1005.7,32.4,29.9,27.9,25.3,77.0,58.0,0.02,12.1
2001-07-31,1004.9,32.7,30.2,28.7,25.6,76.0,71.0,0.02,10.4
2001-08-01,1004.3,31.3,28.6,25.1,25.2,83.0,88.0,11.3,2.4
2001-08-02,1006.2,30.2,26.9,24.3,25.0,90.0,86.0,54.5,4.5
2001-08-03,1010.3,29.6,27.7,25.0,25.3,87.0,80.0,0.02,2.7
2001-08-04,1011.2,31.8,29.1,26.9,24.7,77.0,22.0,0.0,11.9
2001-08-05,1010.6,31.2,29.3,28.1,26.0,83.0,74.0,0.2,10.4
2001-08-06,1008.0,32.2,29.7,28.0,25.6,79.0,64.0,0.02,8.5
2001-08-07,1005.6,32.9,30.1,27.9,25.0,75.0,54.0,0.0,11.5
2001-08-08,1006.3,33.4,30.3,28.2,25.3,75.0,35.0,0.0,11.8
2001-08-09,1007.9,32.2,30.0,28.4,25.9,79.0,54.0,0.02,11.1
2001-08-10,1008.3,31.1,29.0,26.9,26.1,85.0,81.0,20.9,8.2
2001-08-11,1009.7,30.6,28.9,26.9,25.5,82.0,86.0,1.6,2.3
2001-08-12,1008.9,31.8,28.8,24.3,25.3,82.0,83.0,32.1,4.0
2001-08-13,1008.3,32.6,29.0,24.6,24.2,76.0,78.0,0.5,8.0
2001-08-14,1008.5,31.8,29.5,27.8,25.3,78.0,64.0,0.0,7.8
2001-08-15,1006.5,31.9,29.1,27.3,25.2,79.0,78.0,0.6,6.4
2001-08-16,1004.1,30.4,28.5,26.8,24.2,78.0,82.0,0.1,6.2
2001-08-17,1003.6,32.2,29.1,26.8,24.6,77.0,79.0,0.0,7.6
2001-08-18,1003.9,32.5,29.8,28.2,24.2,72.0,70.0,0.0,8.8
2001-08-19,1004.7,30.4,29.2,27.8,24.9,78.0,72.0,1.3,4.2
2001-08-20,1005.9,33.2,29.9,27.9,24.6,73.0,49.0,0.0,10.7
2001-08-21,1005.2,32.9,30.1,28.3,25.4,76.0,56.0,0.0,8.2
2001-08-22,1003.4,32.9,30.2,27.8,25.3,76.0,28.0,0.0,9.6
2001-08-23,1002.2,34.0,31.0,29.0,25.6,74.0,35.0,0.0,9.6
2001-08-24,1001.8,33.4,30.9,29.3,26.1,76.0,70.0,0.0,8.4
2001-08-25,1003.1,32.2,30.3,29.1,25.7,77.0,69.0,0.0,7.6
2001-08-26,1002.9,32.6,30.4,28.9,25.4,75.0,73.0,0.0,10.2
2001-08-27,1001.7,32.1,29.3,26.1,25.1,78.0,88.0,32.3,3.4
2001-08-28,1000.2,28.5,27.3,26.5,25.0,88.0,89.0,17.4,0.1
2001-08-29,1000.1,28.3,26.9,25.6,25.5,92.0,91.0,51.9,0.4
2001-08-30,1001.7,28.5,26.5,25.4,25.6,95.0,95.0,90.6,0.0
2001-08-31,1003.6,30.6,29.1,26.9,25.7,82.0,88.0,3.6,1.4
2001-09-01,1003.9,29.2,27.2,25.2,25.7,92.0,92.0,133.2,0.0
2001-09-02,1004.5,27.4,26.2,25.2,25.1,94.0,92.0,33.3,0.2
2001-09-03,1007.3,27.0,26.1,25.1,24.7,92.0,92.0,73.9,0.0
2001-09-04,1007.2,28.3,26.6,25.3,23.9,85.0,86.0,0.2,3.2
2001-09-05,1006.8,26.6,25.9,24.6,24.4,92.0,91.0,100.8,0.0
2001-09-06,1007.1,30.3,27.5,25.9,24.9,86.0,84.0,4.4,3.5
2001-09-07,1008.0,28.8,26.8,24.9,25.0,90.0,83.0,98.7,1.1
2001-09-08,1007.3,29.1,27.2,25.4,24.4,85.0,67.0,32.3,9.2
2001-09-09,1007.5,28.5,27.0,25.6,24.0,84.0,83.0,1.5,1.3
